File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,75.273415%,12320,504,472,0,32,12288
startup_stm32f103xb.o,9.384738%,1536,300,64,236,0,1536
oled.o,6.256492%,1024,1104,1104,0,0,1024
e4gdtu.o,2.382843%,390,2084,2078,0,6,384
tasks.o,1.832957%,300,2338,2278,0,60,240
eeprom_drive.o,1.588562%,260,1244,1236,0,8,252
usart.o,0.879819%,144,320,320,0,0,144
c_w.l,0.586546%,96,10021,9458,563,0,96
libspace.o,0.586546%,96,8,8,0,0,96
stm32f1xx_hal_timebase_tim.o,0.439910%,72,140,140,0,0,72
freertos.o,0.244394%,40,504,232,232,40,0
rtc.o,0.122197%,20,100,100,0,0,20
capture_traffic.o,0.097758%,16,80,64,0,16,0
stm32f1xx_hal.o,0.073318%,12,76,64,0,12,0
port.o,0.073318%,12,674,662,0,12,0
iwdg.o,0.073318%,12,44,44,0,0,12
key.o,0.048879%,8,384,376,0,8,0
system_stm32f1xx.o,0.024439%,4,30,2,24,4,0
printf.o,0.024439%,4,30,26,0,4,0
task.o,0.006110%,1,1729,1728,0,1,0
